userId,movieId,rating,timestamp
1,1,4,964982703
2,2,4,964981247
3,3,4,964982224
4,4,5,964983815
5,5,5,964982931
6,6,3,964982400
7,7,5,964980868
8,8,4,964982176
9,9,5,964984041
10,10,5,964984100
11,12,5,964983650
12,13,5,964981208
13,14,3,964980985
14,1,5,964981179
15,2,4,964980908
16,3,5,964981680
17,4,3,964982967
18,5,3,964982310
19,6,5,964981179
20,7,4,964982563
21,8,4,964980962
22,9,5,964982588
23,10,4,964981710
24,12,3,964982363
25,13,4,964980868
26,14,5,964981909
27,1,4,964982346
28,1,3,964981208
29,2,5,964984002
30,3,4,964981179
31,4,4,964982653
32,5,5,964984153
33,6,4,964982546
34,7,4,964982271
35,8,4,964983793
36,9,5,964982838
37,10,5,964982931
38,12,3,964982563
39,13,5,964982838
40,14,3,964981775
41,1,4,964982400
42,2,3,964982653
43,3,3,964984086
44,4,4,964980499
45,5,5,964982475
46,6,5,964981529
47,7,5,964982176
48,8,4,964983614
49,9,5,964983219
50,10,3,964981775
51,12,5,964982681
52,13,5,964982876
53,14,5,964982791
54,1,5,964982855
55,2,3,964982903
56,3,5,964982653
57,4,5,964982791
58,5,4,964981179
59,6,5,964982400
60,7,4,964980924
61,8,5,964981680
62,9,5,964981327
63,10,5,964982951
64,12,4,964984018
65,13,5,964983484
66,14,5,964981680
67,1,4,964982513
68,2,5,964981327
69,3,5,964981827
70,4,5,964981872
71,5,5,964981827
72,6,5,964983737
73,7,4,964983250
74,8,5,964980499
75,9,5,964982951
76,10,4,964981855
77,12,2,964983393
78,13,5,964981909
79,14,5,964981909
80,1,5,964984018
81,2,5,964983618
82,3,5,964983723
83,4,5,964981442
84,5,3,964983414
85,6,4,964983599
86,7,5,964983705
87,8,5,964982290
88,9,5,964983414
89,10,5,964982703
90,12,5,964981909
91,13,5,964984086
92,14,4,964983393
93,1,3,964982653
94,2,3,964983017
95,3,3,964982310
96,4,3,964984112
97,5,4,964980875
98,6,4,964980985
99,7,5,964981107
100,8,4,964982620
101,9,5,964982290
102,10,3,964981125
103,12,5,964982346
